imgpath,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,symbol.started,symbol.stopped,participant,date,expName,psychopyVersion,frameRate,
4.jpg,['1'],0,0,0,0,['1'],1,[4.66618139995262],72.27696589997504,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
9.jpg,['3'],0,1,1,1,['3'],1,[3.166543599916622],77.00281069998164,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
5.jpg,['2'],0,2,2,2,['2'],1,[1.5641054000006989],80.21085669996683,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,3,3,3,['1'],1,[0.9273336000042036],81.81376960000489,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
8.jpg,['2'],0,4,4,4,['2'],1,[1.6689450000412762],82.78809160005767,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,5,5,5,['1'],1,[0.9844916000729427],84.49362439999823,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,6,6,6,['1'],1,[1.94721579994075],85.51476739998907,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
6.jpg,['3'],0,7,7,7,['3'],1,[1.6155882000457495],87.51293049997184,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
9.jpg,['3'],0,8,8,8,['3'],1,[1.066363799967803],89.16687449999154,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
3.jpg,['3'],0,9,9,9,['3'],1,[1.3086164999986067],90.2818368000444,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
2.jpg,['2'],0,10,10,10,['2'],1,[0.907872699899599],91.63681880000513,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
9.jpg,['3'],0,11,11,11,['3'],1,[0.9817902999930084],92.57730949996039,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
2.jpg,['2'],0,12,12,12,['2'],1,[0.9288434999762103],93.5959946999792,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
8.jpg,['2'],0,13,13,13,['2'],1,[1.0243199000833556],94.56548380001914,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
3.jpg,['3'],0,14,14,14,['3'],1,[1.0484587999526411],95.6279297999572,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,15,15,15,['1'],1,[0.7221506000496447],96.72801740001887,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,16,16,16,['1'],1,[1.4791379000525922],97.48848309996538,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,17,17,17,['1'],1,[0.8143575999420136],99.00399959995411,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
7.jpg,['1'],0,18,18,18,['1'],1,[1.0464556000661105],99.86578460002784,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
8.jpg,['2'],0,19,19,19,['2'],1,[1.0355116999708116],100.94719600002281,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
7.jpg,['1'],0,20,20,20,['1'],1,[1.0417276999214664],102.02473129995633,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,21,21,21,['1'],1,[1.828830200014636],103.10500680003315,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
2.jpg,['2'],0,22,22,22,['2'],1,[0.9170202999375761],104.97466920001898,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
7.jpg,['1'],0,23,23,23,['1'],1,[0.918735499959439],105.93088889995124,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
3.jpg,['3'],0,24,24,24,['3'],1,[1.1594888999825343],106.88458890002221,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
